_id,id.senator,id.member,bio.fulltitle,links.aph,bio.title,bio.prefname,bio.surname,bio.postnominal,bio.postnominalyear,bio.othername,bio.gender,date#bio.dateofbirth,bio.placeofbirth,date#bio.dateofdeath,date#bio.servicefrom,date#bio.serviceto,bio.servicedaystotal,bio.olb,division[0].status,division[0].parltype,division[0].aecdivid,division[0].divname,division[0].divstate,division[0].starttype,date#division[0].startdate,date#division[0].enddate,division[0].endtype,division[0].endreason,division[1].parltype,division[1].aecdivid,division[1].divname,division[1].divstate,division[1].starttype,date#division[1].startdate,date#division[1].enddate,division[1].endtype,division[1].endreason,division[2].parltype,division[2].aecdivid,division[2].divname,division[2].divstate,division[2].starttype,date#division[2].startdate,date#division[2].enddate,date#division[2].endtype,division[2].endreason,division[3].parltype,division[3].aecdivid,division[3].divname,division[3].divstate,division[3].starttype,date#division[3].startdate,date#division[3].enddate,,division[3].endreason,party.count,party[0].partyname,party[0].partycode,party[0].coalition,date#party[0].startdate,date#party[0].enddate,party[1].partyname,party[1].partycode,party[1].coalition,date#party[1].startdate,date#party[1].enddate,party[2].partyname,party[2].partycode,party[2].coalition,date#party[2].startdate,date#party[2].enddate,parliamentaryposition[0].status,parliamentaryposition[0].chamber,parliamentaryposition[0].title,date#parliamentaryposition[0].startdate,date#parliamentaryposition[0].enddate,parliamentaryposition[1].chamber,parliamentaryposition[1].title,date#parliamentaryposition[1].startdate,date#parliamentaryposition[1].enddate,,,,,,,,,,,,
"""KL6""",,H0887,"Andren, Peter James",aph bio,,Peter,ANDREN,,,,Male,1946-08-28,"Gulargambone, NSW",2007-11-03,1996-03-02,2007-10-17,4246,Former Member for Calare (1996-2007),Former,Member,,Calare,NSW,1996-CASUAL1,1996-03-02,2007-10-17,2007-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Independent,IND,,1996-03-02,2007-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JZW""",S0118,,"Andrew, David",aph bio,,David,ANDREW,,,,Male,1866-11-10,"Castlemaine, VIC",1928-11-18,1925-11-14,1928-11-18,1100,Former Senator for Victoria (1925-1928),Former,Senator,,Victoria,VIC,1925-FULL,1925-11-14,1928-11-18,1928-CASUAL4-VIC,Died,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""HE4""",,H0737,"Andrew, John Neil",aph bio,The Hon.,John,ANDREW,,,,Male,1944-06-07,"Waikerie, SA",,1983-03-05,2004-08-31,7850,Former Member for Wakefield (1983-2004),Former,Member,,Wakefield,SA,1983-DOUBLE,1983-03-05,2004-08-31,2004-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1983-03-05,2004-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""230886""",,H1066,"Andrews, Karen Lesley",aph bio,,Karen,ANDREWS,,,,Female,1960-08-23,"Brisbane, QLD",,2010-08-21,,1775,Current Member for McPherson (2010- ),Current,Member,,McPherson,QLD,2010-FULL,2010-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,2010-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""HK5""",,H0849,"Andrews, Kevin James",aph bio,the Hon.,Kevin,ANDREWS,,,,Male,1955-11-09,"Sale, VIC",,1991-05-11,,8817,Current Member for Menzies (1991- ),Current,Member,,Menzies,VIC,1991-BY-MENZIES,1991-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1991-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JLW""",,H0387,"Andrews, Thomas William",aph bio,,Tom,ANDREWS,,,,Male,1900-10-19,"Kalino, VIC",1974-11-21,1949-12-10,1955-12-10,2191,Former Member for Darebin (1949-1955),Former,Member,,Darebin,VIC,1949-FULL,1949-12-10,1955-12-10,1955-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JLY""",,H0121,"Anstey, Francis George",aph bio,The Hon.,Frank,ANSTEY,,,,Male,1865-08-18,"London, England",1940-10-31,1910-04-13,1934-08-07,8882,Former Member for Bourke (1910-1934),Former,Member,,Bourke,VIC,1910-FULL,1910-04-13,1934-08-07,1934-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JLZ""",,H0324,"Anthony, Hubert Lawrence",aph bio,The Hon.,Larry,ANTHONY,,,,Male,1897-03-12,"Warren, NSW",1957-07-12,1937-10-23,1957-07-12,7202,Former Member for Richmond (1937-1957),Former,Member,,Richmond,NSW,1937-FULL,1937-10-23,1957-07-12,1957-BY-RICHMOND,Died,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Country Party,CP,,1937-10-23,1957-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""DV4""",S0282,,"Withers, Reginald Greive",aph bio,Rt. Hon.,Reginald,WITHERS,,,,Male,1924-10-26,"Bunbury, WA",2014-11-25,1966-02-17,1987-06-05,7195,Former Senator for Western Australia (1968-1987) et al.,Former,Senator,,Western Australia,WA,1967-SENATE,1968-07-01,1987-06-05,1987-DOUBLE,Retired,Senator,,Western Australia,WA,1966-CASUAL1-WA,1966-02-17,1966-11-26,1966-SENATE-WA,Expired Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""XJ6""",,H0888,"Anthony, Lawrence James",aph bio,The Hon.,Larry,ANTHONY,,,,Male,1961-12-17,"Sydney, NSW",,1996-03-02,2004-10-09,3143,Former Member for Richmond (1996-2004),Former,Member,,Richmond,NSW,1996-CASUAL1,1996-03-02,2004-10-09,2004-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""HES""",S0520,,"Arbib, Mark Victor",aph bio,the Hon.,Mark,ARBIB,,,,Male,1971-11-09,"Chippendale, NSW",,2008-07-01,2012-03-05,1343,Former Senator for New South Wales (2008-2012),Former,Senator,,New South Wales,NSW,2007-FULL,2008-07-01,2012-03-05,2012-CASUAL1-NSW,Resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""IE4""",S0324,,"Archer, Brian Roper",aph bio,,Brian,ARCHER,,,,Male,1929-08-21,"Calder, TAS",2013-03-10,1975-12-13,1994-01-31,6624,Former Senator for Tasmania (1975-1994),Former,Senator,,Tasmania,TAS,1975-DOUBLE,1975-12-13,1994-01-31,1994-CASUAL1-TAS,Resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JM2""",,H0096,"Archer, Edward Walker",aph bio,,Edward,ARCHER,,,,Male,1871-12-12,"Croyden, England",1940-07-01,1906-12-12,1910-04-13,1218,Former Member for Capricornia (1906-1910),Former,Member,,Capricornia,QLD,1906-FULL,1906-12-12,1910-04-13,1910-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,{fill},ANTI-SOC,,1906-12-12,1910-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JM8""",,H0122,"Archibald, William Oliver",aph bio,The Hon.,William,ARCHIBALD,,,,Male,1852-06-03,"St Pancras, England",1926-06-28,1910-04-13,1919-12-13,3531,Former Member for Hindmarsh (1910-1919),Former,Member,,Hindmarsh,SA,1910-FULL,1910-04-13,1919-12-13,1919-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K08""",S0148,,"Arkins, James Guy Dalley",aph bio,,James,ARKINS,,,,Male,1887-10-14,"Millthorpe, NSW",1980-08-02,1935-09-26,1937-10-22,757,Former Senator for New South Wales (1935-1937),Former,Senator,,New South Wales,NSW,1935-CASUAL2-NSW,1935-09-26,1937-10-22,1937-FULL,Expired Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JM9""",,H0518,"Armitage, John Lindsay",aph bio,,John,ARMITAGE,,,,Male,1920-11-11,"Sydney, NSW",2009-04-13,1961-12-09,1983-02-04,5571,Former Member for Chifley (1969-1983) et al.,Former,Member,,Chifley,NSW,1969-HOUSE,1969-10-25,1983-02-04,1983-DOUBLE,Retired,Member,,Mitchell,NSW,1961-FULL,1961-12-09,1963-11-30,1963-HOUSE,Defeated,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1961-12-09,1983-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JMA""",,H0556,"Armstrong, Adam Alexander",aph bio,,Adam,ARMSTRONG,"OBE, MC",,,Male,1909-07-01,"Deniliquin, NSW",1982-02-22,1965-02-27,1969-10-25,1701,Former Member for Riverina i (1965-1969),Former,Member,,Riverina i,NSW,1965-BY-RIVERINA,1965-02-27,1969-10-25,1969-HOUSE,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Country Party,CP,,1965-02-27,1969-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K0C""",S0164,,"Armstrong, John Ignatius",aph bio,The Hon.,John,ARMSTRONG,,,,Male,1908-07-10,"Ultimo, NSW",1977-03-10,1938-07-01,1962-06-30,8765,Former Senator for New South Wales (1938-1962),Former,Senator,,New South Wales,NSW,1937-FULL,1938-07-01,1962-06-30,1961-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K0N""",S0176,,"Arnold, James Jarvist",aph bio,,James,ARNOLD,,,,Male,1902-04-12,"Wallaroo, SA",1967-10-29,1941-07-01,1965-06-30,8765,Former Senator for New South Wales (1941-1965),Former,Senator,,New South Wales,NSW,1940-FULL,1941-07-01,1965-06-30,1964-SENATE,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JMB""",,H0146,"Arthur, John Andrew",aph bio,the Hon. ,John,ARTHUR,,,,Male,1875-08-15,"Castlemaine, VIC",1914-12-09,1913-05-31,1914-12-09,557,Former Member for Bendigo (1913-1914),Former,Member,,Bendigo,VIC,1913-FULL,1913-05-31,1914-12-09,1915-BY1-BENDIGO,Died,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1913-05-31,1914-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K0P""",S0165,,"Arthur, Thomas Christopher",aph bio,,Tom,ARTHUR,,,,Male,1883-05-11,"Forbes, NSW",1953-06-06,1938-07-01,1944-06-30,2191,Former Senator for New South Wales (1938-1944),Former,Senator,,New South Wales,NSW,1937-FULL,1938-07-01,1944-06-30,1943-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""JMC""",,H0559,"Arthur, William Tevlin",aph bio,,William,ARTHUR,,,,Male,1918-04-16,"Sydney, NSW",1982-02-28,1966-11-26,1969-10-25,1064,Former Member for Barton (1966-1969),Former,Member,,Barton,NSW,1966-HOUSE,1966-11-26,1969-10-25,1969-HOUSE,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1966-11-26,1969-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K0W""",S0159,,"Ashley, William Patrick",aph bio,The Hon.,Bill,ASHLEY,,,,Male,1881-09-20,"Hay, NSW",1958-06-27,1937-10-23,1958-06-27,7552,Former Senator for New South Wales (1937-1958),Former,Senator,,New South Wales,NSW,1937-FULL,1937-10-23,1958-06-27,1958-CASUAL1-NSW,Died,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
