_id,id.senator,id.member,bio.fulltitle,links.aph,bio.title,bio.prefname,bio.surname,bio.postnominal,bio.postnominalyear,bio.othername,bio.gender,date#bio.dateofbirth,bio.placeofbirth,date#bio.dateofdeath,date#bio.servicefrom,date#bio.serviceto,bio.servicedaystotal,bio.olb,division[0].status,division[0].parltype,division[0].aecdivid,division[0].divname,division[0].divstate,division[0].starttype,date#division[0].startdate,date#division[0].enddate,division[0].endtype,division[0].endreason,division[1].parltype,division[1].aecdivid,division[1].divname,division[1].divstate,division[1].starttype,date#division[1].startdate,date#division[1].enddate,division[1].endtype,division[1].endreason,division[2].parltype,division[2].aecdivid,division[2].divname,division[2].divstate,division[2].starttype,date#division[2].startdate,date#division[2].enddate,date#division[2].endtype,division[2].endreason,division[3].parltype,division[3].aecdivid,division[3].divname,division[3].divstate,division[3].starttype,date#division[3].startdate,date#division[3].enddate,,division[3].endreason,party.count,party[0].partyname,party[0].partycode,party[0].coalition,date#party[0].startdate,date#party[0].enddate,party[1].partyname,party[1].partycode,party[1].coalition,date#party[1].startdate,date#party[1].enddate,party[2].partyname,party[2].partycode,party[2].coalition,date#party[2].startdate,date#party[2].enddate,parliamentaryposition[0].status,parliamentaryposition[0].chamber,parliamentaryposition[0].title,date#parliamentaryposition[0].startdate,date#parliamentaryposition[0].enddate,parliamentaryposition[1].chamber,parliamentaryposition[1].title,date#parliamentaryposition[1].startdate,date#parliamentaryposition[1].enddate,,,,,,,,,,,,
"""KHC""",,H0022,"Higgins, Henry Bournes",aph bio,the Hon. ,Henry,HIGGINS,,,,Male,1851-06-30,"Newtownards, Ireland",1929-01-13,1901-03-29,1906-10-13,2024,Former Member for Northern Melbourne (1901-1906),Former,Member,,Northern Melbourne,VIC,1901-FULL1,1901-03-29,1906-10-13,1906-FULL-NOBY,Abolished at Redistribution (Resigned),,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,{fill},PROT,,1901-03-29,1906-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KHE""",S0018,H0128,"Higgs, William Guy",aph bio,The Hon.,William,HIGGS,,,,Male,1862-01-18,"Wingham, NSW",1951-06-11,1901-03-30,1922-12-16,6732,Former Member for Capricornia (1910-1922) et al.,Former,Member,,Capricornia,QLD,1910-FULL,1910-04-13,1922-12-16,1922-FULL,Defeated,Senator,,Queensland,QLD,1901-FULL2,1901-03-30,1906-12-31,1906-FULL,Defeated,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BH4""",S0362,,"Hill, Robert Murray",aph bio,The Hon.,Robert,HILL,,,,Male,1946-09-25,"Adelaide, SA",,1981-07-01,2006-03-15,9023,Former Senator for South Australia (1981-2006),Former,Senator,,South Australia,SA,1980-FULL,1981-07-01,2006-03-15,2006-CASUAL1-SA,Resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KHG""",,H0188,"Hill, William Caldwell",aph bio,The Hon.,William,HILL,,,,Male,1866-04-14,"Dunolly, VIC",1939-11-15,1919-09-20,1934-08-07,5435,Former Member for Echuca (1919-1934),Former,Member,,Echuca,VIC,1919-BY-ECHUCA,1919-09-20,1934-08-07,1934-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KOZ""",S0105,,"Hoare, Albert Alfred",aph bio,,Bert,HOARE,,,,Male,1874-11-22,"Alberton, SA",1962-01-21,1922-12-16,1935-06-30,4579,Former Senator for South Australia (1922-1935),Former,Senator,,South Australia,SA,1922-FULL,1922-12-16,1935-06-30,1934-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""83Y""",,H0950,"Hoare, Kelly Joy",aph bio,,Kelly,HOARE,,,,Female,1963-07-01,"Deniliquin, NSW",,1998-10-03,2007-10-17,3301,Former Member for Charlton (1998-2007),Former,Member,,Charlton,NSW,1998-FULL,1998-10-03,2007-10-17,2007-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1998-10-03,2007-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""DK6""",,H0910,"Hockey, Joseph Benedict",aph bio,the Hon.,Joe,HOCKEY,,,,Male,1965-08-02,"Sydney, NSW",,1996-03-02,,7060,Current Member for North Sydney (1996- ),Current,Member,,North Sydney,NSW,1996-CASUAL1,1996-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1996-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""00ATA""",,H0650,"Hodges, John Charles",aph bio,the Hon.,John,HODGES,,,,Male,1937-10-03,"Brisbane, QLD",,1974-05-18,1987-07-11,4165,Former Member for Petrie (1984-1987) et al.,Former,Member,,Petrie,QLD,1984-FULL,1984-12-01,1987-07-11,1987-DOUBLE,Defeated,Member,,Petrie,QLD,1974-DOUBLE,1974-05-18,1983-03-05,1983-DOUBLE,Defeated,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1974-05-18,1987-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BV4""",,H0676,"Hodgman, William Michael",aph bio,The Hon.,Michael,HODGMAN,AM QC,,,Male,1938-11-16,"Hobart, TAS",2013-06-19,1975-12-13,1987-07-11,4228,Former Member for Denison (1975-1987),Former,Member,,Denison,TAS,1975-DOUBLE,1975-12-13,1987-07-11,1987-DOUBLE,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1975-12-13,1987-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""218019""",,H1106,"Hogan, Kevin John",aph bio,,Kevin,HOGAN,,,,Male,1963-08-11,"Port Augusta, SA",,2013-09-07,,662,Current Member for Page (2013- ),Current,Member,,Page,NSW,2013-FULL,2013-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,The Nationals,NATS,,2013-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""7L6""",S0462,,"Hogg, John Joseph",aph bio,the Hon.,John,HOGG,,,,Male,1949-03-19,"Brisbane, QLD",,1996-07-01,2014-06-30,6573,Former Senator for Queensland (1996-2014),Former,Senator,,Queensland,QLD,1996-FULL,1996-07-01,2014-06-30,2013-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KNX""",,H0287,"Harrison, Eric John",aph bio,Rt. Hon. Sir,Eric,HARRISON,"PC, KCVO",KCVO(1954),,Male,1892-09-07,"Surry Hills, NSW",1974-09-26,1931-12-19,1956-10-17,9069,Former Member for Wentworth (1931-1956),Former,Member,,Wentworth,NSW,1931-FULL,1931-12-19,1956-10-17,1956-BY3-WENTWORTH,Resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""CH4""",,H0701,"Holding, Allan Clyde",aph bio,The Hon.,Allan,HOLDING,,,,Male,1931-04-27,"Melbourne, VIC",2011-07-31,1977-12-10,1998-08-31,7569,Former Member for Melbourne Ports (1977-1998),Former,Member,,Melbourne Ports,VIC,1977-FULL,1977-12-10,1998-08-31,1998-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1977-12-10,1998-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""DH4""",,H0752,"Hollis, Colin Patrick",aph bio,,Colin,HOLLIS,,,,Male,1938-05-30,"Wauchope, NSW",,1983-03-05,2001-10-08,6792,Former Member for Throsby (1984-2001) et al.,Former,Member,,Throsby,NSW,1984-FULL,1984-12-01,2001-10-08,2001-FULL,Retired,Member,,Macarthur,NSW,1983-DOUBLE,1983-03-05,1984-12-01,1984-FULL,Moved at Redistribution (to Throsby),,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1983-03-05,2001-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""DQC""",,H0023,"Hughes, William Morris",aph bio,Rt. Hon.,Billy,HUGHES,"PC, CH, KC, ",,,Male,1862-09-25,"London, England",1952-10-28,1901-03-29,1952-10-28,18841,Former Member for Bradfield (1949-1952) et al.,Former,Member,,Bradfield,NSW,1949-FULL,1949-12-10,1952-10-28,1952-BY4-BRADFIELD,Died,Member,,North Sydney,NSW,1922-FULL,1922-12-16,1949-12-10,1949-FULL,Moved at Redistribution (to Bradfield),Member,,Bendigo,Vic,1917-FULL,1917-05-05,1922-12-16,1922-FULL,"Moved at Redistribution (to North Sydney, NSW)",Member,,West Sydney,NSW,1901-FULL1,1901-03-29,1917-05-05,1917-FULL,"Moved to Bendigo, VIC",MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KHO""",,H0288,"Holman, William Arthur",aph bio,The Hon.,William,HOLMAN,KC,,,Male,1871-08-04,"London, England",1934-06-05,1931-12-19,1934-06-05,899,Former Member for Martin (1931-1934),Former,Member,,Martin,NSW,1931-FULL,1931-12-19,1934-06-05,1934-FULL-NOBY,Died,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,United Australia Party,UAP,,1931-12-19,1934-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""A48""",,H0251,"Chifley, Joseph Benedict",aph bio,Rt. Hon.,Ben,CHIFLEY,,,,Male,1885-09-22,"Bathurst, NSW",1951-06-13,1928-11-17,1951-06-13,5044,Former Member for Macquarie (1940-1951) et al.,Former,Member,,Macquarie,NSW,1940-FULL,1940-09-21,1951-06-13,1951-BY2-MACQUARIE,Died,Member,,Macquarie,NSW,1928-FULL,1928-11-17,1931-12-19,1931-FULL,Defeated,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1928-11-17,1951-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KHQ""",,H0482,"Holt, Robert Wilfred",aph bio,The Hon.,Bob,HOLT,,,,Male,1914-06-09,"Launceston, TAS",1985-05-01,1955-12-10,1958-10-14,1039,Former Member for Darebin (1955-1958),Former,Member,,Darebin,VIC,1955-FULL,1955-12-10,1958-10-14,1958-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1955-12-10,1958-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KHS""",,H0504,"Holten, Rendle Mcneilage",aph bio,The Hon.,Rendle,HOLTEN,,,,Male,1922-03-29,"Caulfield, VIC",1996-10-12,1958-11-22,1977-12-10,6958,Former Member for Indi (1958-1977),Former,Member,,Indi,VIC,1958-FULL,1958-11-22,1977-12-10,1977-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""UU5""",,H0861,"Horne, Robert Hodges",aph bio,,Bob,HORNE,,,,Male,1939-12-18,"Newcastle, NSW",,1993-03-13,2001-11-10,2219,Former Member for Paterson (1998-2001) et al.,Former,Member,,Paterson,NSW,1998-FULL,1998-10-03,2001-11-10,2001-FULL,Defeated,Member,,Paterson,NSW,1993-FULL,1993-03-13,1996-03-02,1996-FULL,Defeated,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1993-03-13,2001-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ZD4""",,H0651,"Howard, John Winston",aph bio,The Hon.,John,HOWARD,,,,Male,1939-07-26,"Earlwood, NSW",,1974-05-18,2007-11-24,12243,Former Member for Bennelong (1974-2007),Former,Member,,Bennelong,NSW,1974-DOUBLE,1974-05-18,2007-11-24,2007-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1974-05-18,2007-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""247742""",,H1107,"Howarth, Luke Ronald",aph bio,,Luke,HOWARTH,,,,Male,1972-06-06,"Brisbane, QLD",,2013-09-07,,662,Current Member for Petrie (2013- ),Current,Member,,Petrie,QLD,2013-FULL,2013-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,2013-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""EH4""",,H0702,"Howe, Brian Leslie",aph bio,the Hon.,Brian,HOWE,,,,Male,1936-01-28,"Melbourne, VIC",,1977-12-10,1996-01-29,6624,Former Member for Batman (1977-1996),Former,Member,,Batman,VIC,1977-FULL,1977-12-10,1996-01-29,1996-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1977-12-10,1996-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KHU""",,H0129,"Howe, Robert",aph bio,,Robert,HOWE,,,,Male,1861-00-00,"Newcastle, England",1915-04-02,1910-04-13,1915-04-02,1815,Former Member for Dalley (1910-1915),Former,Member,,Dalley,NSW,1910-FULL,1910-04-13,1915-04-02,1915-BY3-DALLEY,Died,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1910-04-13,1915-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KHW""",,H0175,"Howroyd, Charles Richard",aph bio,,Charles,HOWROYD,,,,Male,1867-02-25,"Yorkshire, England",1917-05-10,1917-05-05,1917-05-10,5,Former Member for Darwin (1917-1917),Former,Member,,Darwin,TAS,1917-FULL,1917-05-05,1917-05-10,1917-BY1-DARWIN,Died before taking seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,The Nationals,NAT,,1917-05-05,1917-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KHY""",,H0381,"Howse, John Brooke",aph bio,,John,HOWSE,,,,Male,1913-10-10,"Orange, NSW",2002-07-11,1946-09-28,1960-09-28,5114,Former Member for Calare (1946-1960),Former,Member,,Calare,NSW,1946-FULL,1946-09-28,1960-09-28,1960-BY5-CALARE,Resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1946-09-28,1960-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KI7""",,H0221,"Howse, Sir Neville Reginald",aph bio,the Hon. Sir,Neville,HOWSE,"VC, KCB, KCMG",,,Male,1863-10-26,"Stogursey, England",1930-09-19,1922-12-16,1929-10-12,2492,Former Member for Calare (1922-1929),Former,Member,,Calare,NSW,1922-FULL,1922-12-16,1929-10-12,1929-HOUSE,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,The Nationals,NAT,,1922-12-16,1929-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""0095J""",,H0483,"Howson, Peter",aph bio,The Hon.,Peter,HOWSON,,,,Male,1919-05-22,"London, England",2009-02-01,1955-12-10,1972-12-02,6202,Former Member for Casey (1969-1972) et al.,Former,Member,,Casey,VIC,1969-HOUSE,1969-10-25,1972-12-02,1972-HOUSE,Defeated,Member,,Fawkner,VIC,1955-FULL,1955-12-10,1969-10-25,1969-HOUSE,Abolished at Redistribution (to Casey),,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1955-12-10,1972-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""IIS""",,H0543,"Hughes, Thomas Eyre Forrest",aph bio,The Hon.,Thomas,HUGHES,QC,,,Male,1923-11-26,"Sydney, NSW",,1963-11-30,1972-11-02,3260,Former Member for Berowra (1969-1972) et al.,Former,Member,,Berowra,NSW,1969-HOUSE,1969-10-25,1972-11-02,1972-HOUSE,Retired,Member,,Parkes,NSW,1963-HOUSE,1963-11-30,1969-10-25,1969-HOUSE,Abolished at Redistribution (to Berowra),,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1963-11-30,1972-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KHL""",,H0267,"Holloway, Edward James",aph bio,Rt. Hon.,Jack,HOLLOWAY,PC,,,Male,1875-04-12,"Hobart, TAS",1967-12-03,1929-10-12,1951-03-19,7828,Former Member for Melbourne Ports (1931-1951) et al.,Former,Member,,Melbourne Ports,VIC,1931-FULL,1931-12-19,1951-03-19,1951-DOUBLE,Retired,Member,,Flinders,VIC,1929-HOUSE,1929-10-12,1931-12-19,1931-FULL,Moved to Melbourne Ports,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""83O""",,H0951,"Hull, Kay Elizabeth",aph bio,,Elizabeth,HULL,,,,Female,1954-02-03,"Guyra, NSW",,1998-10-03,2010-07-19,4307,Former Member for Riverina ii (1998-2010),Former,Member,,Riverina ii,NSW,1998-FULL,1998-10-03,2010-07-19,2010-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORE,The Nationals,NP,LPNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TT4""",,H0834,"Hulls, Rob Justin",aph bio,,Rob,HULLS,,,,Male,1957-01-23,"Melbourne, VIC",,1990-03-24,1993-03-13,1085,Former Member for Kennedy (1990-1993),Former,Member,,Kennedy,QLD,1990-FULL,1990-03-24,1993-03-13,1993-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1990-03-24,1993-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KIF""",,H0421,"Hulme, Alan Shallcross (Later Sir Alan)",aph bio,the Hon. Sir,Alan,HULME,KBE,,,Male,1907-02-14,"Mosman, NSW",1989-10-09,1949-12-10,1972-11-02,7642,Former Member for Petrie (1963-1972) et al.,Former,Member,,Petrie,QLD,1963-HOUSE,1963-11-30,1972-11-02,1972-HOUSE,Retired,Member,,Petrie,QLD,1949-FULL,1949-12-10,1961-12-09,1961-FULL,Defeated,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1949-12-10,1972-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""FH4""",,H0703,"Humphreys, Benjamin Charles",aph bio,The Hon.,Benjamin,HUMPHREYS,,,,Male,1934-08-17,"Brisbane, QLD",,1977-12-10,1996-01-29,6624,Former Member for Griffith (1977-1996),Former,Member,,Griffith,QLD,1977-FULL,1977-12-10,1996-01-29,1996-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1977-12-10,1996-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KO6""",S0496,,"Humphries, Gary John Joseph",aph bio,,Gary,HUMPHRIES,,,,Male,1958-07-06,"Sydney, NSW",,2003-02-18,2013-09-06,3853,Former Senator for Australian Capital Territory (2003-2013),Former,Senator,,Australian Capital Territory,ACT,2003-CASUAL1-ACT,2003-02-18,2013-09-06,2013-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""00AMV""",,H0984,"Hunt, Gregory Andrew",aph bio,the Hon.,Greg,HUNT,,,,Male,1965-11-18,"Frankston, VIC",,2001-11-10,,4981,Current Member for Flinders (2001- ),Current,Member,,Flinders,VIC,2001-FULL,2001-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,2001-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""GH4""",,H0582,"Hunt, Ralph James Dunnet",aph bio,The Hon.,Ralph,HUNT,,,,Male,1928-03-31,"Narrabri, NSW",2011-05-21,1969-06-07,1989-02-24,7202,Former Member for Gwydir (1969-1989),Former,Member,,Gwydir,NSW,1969-BY3-GWYDIR,1969-06-07,1989-02-24,1989-BY-GWYDIR,Resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KIO""",,H0210,"Hunter, James Aitchison Johnston",aph bio,The Hon.,James,HUNTER,,,,Male,1882-07-04,"Springburn, Scotland",1968-10-26,1921-07-30,1940-08-27,6968,Former Member for Maranoa (1921-1940),Former,Member,,Maranoa,QLD,1921-BY1-MARANOA,1921-07-30,1940-08-27,1940-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Country Party,CP,,1921-07-30,1940-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AV4""",,H0596,"Hurford, Christopher John",aph bio,The Hon.,Chris,HURFORD,AO,,,Male,1931-07-30,?,,1969-10-25,1987-12-31,6641,Former Member for Adelaide (1969-1987),Former,Member,,Adelaide,SA,1969-HOUSE,1969-10-25,1987-12-31,1988-BY1-ADELAIDE,Resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1969-10-25,1987-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""E4U""",S0501,,"Hurley, Annette Kay",aph bio,,Annette,HURLEY,,,,Female,1955-03-23,"Adelaide, SA",,2005-07-01,2011-06-30,2190,Former Senator for South Australia (2005-2011),Former,Senator,,South Australia,SA,2004-FULL,2005-07-01,2011-06-30,2010-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KIR""",,H0222,"Hurry, Geoffry",aph bio,Lieutenant-Colonel,Geoffry,HURRY,"DSO, VD",,,Male,1868-09-15,"Kyneton, VIC",1951-02-07,1922-12-16,1929-10-12,2492,Former Member for Bendigo (1922-1929),Former,Member,,Bendigo,VIC,1922-FULL,1922-12-16,1929-10-12,1929-HOUSE,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,The Nationals,NAT,,1922-12-16,1929-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""91219""",,H1074,"Husic, Edham Nurredin",aph bio,the Hon.,Ed,HUSIC,,,,Male,1970-02-03,"Sydney, NSW",,2010-08-21,,1775,Current Member for Chifley (2010- ),Current,Member,,Chifley,NSW,2010-FULL,2010-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,2010-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KIU""",,H0289,"Hutchin, Arthur William",aph bio,,Arthur,HUTCHIN,DSO,,,Male,1887-03-03,"Bathurst, NSW",1965-06-12,1931-12-19,1934-09-15,1001,Former Member for Denison (1931-1934),Former,Member,,Denison,TAS,1931-FULL,1931-12-19,1934-09-15,1934-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,United Australia Party,UAP,,1931-12-19,1934-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""84P""",S0473,,"Hutchins, Stephen Patrick",aph bio,,Steve,HUTCHINS,,,,Male,1956-04-22,"Sydney, NSW",,1998-10-14,2011-06-30,4642,Former Senator for New South Wales (1998-2011),Former,Senator,,New South Wales,NSW,1998-CASUAL2-NSW,1998-10-14,2011-06-30,2010-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""212585""",,H1108,"Hutchinson, Eric Russell",aph bio,,Eric,HUTCHINSON,,,,Male,1965-06-19,"Launceston, TAS",,2013-09-07,,662,Current Member for Lyons (2013- ),Current,Member,,Lyons,TAS,2013-FULL,2013-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,2013-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KIX""",,H0290,"Hutchinson, William Joseph",aph bio,,William,HUTCHINSON,,,,Male,1904-01-07,"Maindample, VIC",1967-09-29,1931-12-19,1949-10-31,6526,Former Member for Deakin (1937-1949) et al.,Former,Member,,Deakin,VIC,1937-FULL,1937-10-23,1949-10-31,1949-FULL,Retired,Member,,Indi,VIC,1931-FULL,1931-12-19,1937-10-23,1937-FULL,Moved at Redistribution (to Deakin),,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KJ8""",,H0083,"Hutchison, James",aph bio,the Hon. ,James,HUTCHISON,,,,Male,1859-04-20,"Aberdeen, Scotland",1909-12-06,1903-12-16,1909-12-06,2182,Former Member for Hindmarsh (1903-1909),Former,Member,,Hindmarsh,SA,1903-FULL,1903-12-16,1909-12-06,1910-FULL-NOBY,Died,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1903-12-16,1909-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""9W4""",,H0652,"Hyde, John Martin",aph bio,,John,HYDE,,,,Male,1936-02-02,"Perth, WA",,1974-05-18,1983-03-05,3213,Former Member for Moore (1974-1983),Former,Member,,Moore,WA,1974-DOUBLE,1974-05-18,1983-03-05,1983-DOUBLE,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1974-05-18,1983-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KJA""",,H0625,"Innes, Urquhart Edward",aph bio,,Ted,INNES,,,,Male,1925-02-12,"Melbourne, VIC",2010-05-28,1972-12-02,1983-02-04,3716,Former Member for Melbourne (1972-1983),Former,Member,,Melbourne,VIC,1972-HOUSE,1972-12-02,1983-02-04,1983-DOUBLE,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1972-12-02,1983-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""HYM""",,H1036,"Irons, Stephen James",aph bio,,Steve,IRONS,,,,Male,1958-09-01,"Melbourne, VIC",,2007-11-24,,2776,Current Member for Swan (2007- ),Current,Member,,Swan,WA,2007-FULL,2007-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,2007-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KJC""",,H0108,"Irvine, Hans William Henry",aph bio,,Hans,IRVINE,,,,Male,1856-08-02,"Melbourne, VIC",1922-07-11,1906-12-12,1914-09-05,2824,Former Member for Grampians (1906-1914),Former,Member,,Grampians,VIC,1906-FULL,1906-12-12,1914-09-05,1914-DOUBLE,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KJE""",,H0109,"Irvine, William Hill (Later Sir William)",aph bio,the Hon. Sir,William,IRVINE,"KCMG, KC",,,Male,1858-07-06,"Newry, Ireland",1943-08-20,1906-12-12,1918-04-05,4132,Former Member for Flinders (1906-1918),Former,Member,,Flinders,VIC,1906-FULL,1906-12-12,1918-04-05,1918-BY1-FLINDERS,Resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""83Z""",,H0952,"Irwin, Julia Claire",aph bio,,Julia,IRWIN,,,,Female,1951-11-08,"Sydney, NSW",,1998-10-03,2010-07-19,4307,Former Member for Fowler (1998-2010),Former,Member,,Fowler,NSW,1998-FULL,1998-10-03,2010-07-19,2010-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1998-10-03,2010-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
