phid,sen_id,rep_id,name,given_name,additional_name,bio.prefname,family_name,honorific_prefix,honorific_suffix,gender,=birth,place_of_birth,=death
DZP,,H0999,Sharon Bird,Sharon,Leah,Sharon,Bird,the Hon.,,Female,1962-11-15,"Wollongong, NSW"
H6X,S0516,,Simon Birmingham,Simon,John,Simon,Birmingham,the Hon.,,Male,1974-06-14,"Adelaide, SA"
JPG,,H0663,Reginald Birney,Reginald,John,Reginald,Birney,,,Male,1928-09-26,"Sydney, NSW",1995-01-01
JPJ,,H0537,Frederick Birrell,Frederick,Ronald,Frederick,Birrell,,,Male,1913-12-07,"Parkside, SA",1985-07-23
SE4,S0396,H0881,Bronwyn Bishop,Bronwyn,Kathleen,Bronwyn,Bishop,the Hon.,,Female,1942-10-19,"Sydney, NSW"
83P,,H0939,Julie Bishop,Julie,Isabel,Julie,Bishop,the Hon.,,Female,1956-07-17,"Lobethal, SA"
K1Y,S0255,,Reginald Bishop,Reginald,,Reginald,Bishop,the Hon.,,Male,1913-02-04,"Adelaide, SA",1999-07-03
2L6,S0456,,Thomas Bishop,Thomas,Mark,Thomas,Bishop,,,Male,1954-06-29,"Adelaide, SA"
ND4,S0355,,Florence Bjelke-Petersen,Florence,Isabel,Florence,Bjelke-Petersen,,,Female,1920-08-11,"Brisbane, QLD"
TE4,S0379,,John Black,John,Rees,John,Black,,,Male,1952-01-26,"Sydney, NSW"
JPL,,H0375,Doris Blackburn,Doris,Amelia,Doris,Blackburn,,,Female,1889-09-18,"Melbourne, VIC",1970-12-12
JPN,,H0306,Maurice Blackburn,Maurice,Mccrae,Maurice,Blackburn,,,Male,1880-11-19,"Inglewood, VIC",1944-03-31
JPP,,H0279,Archibald Blacklow,Archibald,Clifford,Archibald,Blacklow,,DSO ,Male,1879-10-11,"Bagdad, TAS",1965-04-04
JPR,,H0078,Robert Blackwood,Robert,Officer,Robert,Blackwood,,,Male,1861-06-24,"Crowlands, VIC",1940-09-22
JPT,,H0307,Adair Blain,Adair,Macalister,Adair,Blain,,,Male,1894-11-21,"Inverell, NSW",1983-04-28
JPV,,H0172,Arthur Blakeley,Arthur,,Arthur,Blakeley,The Hon.,,Male,1886-07-03,"Gilberton, SA",1972-06-27
K22,S0061,,Albert Blakey,Albert,Edward Howarth,Albert,Blakey,,,Male,1879-11-09,"Balmoral, VIC",1935-07-04
UE4,,H0741,Cecil Blanchard,Cecil,Allen,Cecil,Blanchard,,,Male,1929-04-17,"London, England",2008-10-25
JQ7,,H0450,Francis Bland,Francis,Armand,Francis,Bland,,CMG,Male,1882-08-24,"Sydney, NSW",1967-04-09
VE4,,H0695,Neal Blewett,Neal,,Neal,Blewett,the Hon. Dr,AC,Male,1933-10-24,"Sydney, NSW"
JQ9,,H0190,Reginald Blundell,Reginald,Pole,Reginald,Blundell,The Hon.,,Male,1871-02-04,"Adelaide, SA",1945-08-09
WE4,,H0768,Charles Blunt,Charles,William,Charles,Blunt,,,Male,1951-01-19,"Sydney, NSW"
XE4,S0356,,Nick Bolkus,Nick,,Nick,Bolkus,the Hon.,,Male,1950-07-17,"Adelaide, SA"
K2C,S0081,,William Bolton,William,Kinsey,William,Bolton,Lieutenant-Colonel,"CBE, VD",Male,1860-11-01,"Lostock Gralam, England",1941-09-08
0V4,S0297,,Neville Bonner,Neville,Thomas,Neville,Bonner,,,Male,1922-03-28,"Ukerabagh Island, NSW",1999-02-05
JQB,,H0560,Robert Bonnett,Robert,Noel,Robert,Bonnett,,,Male,1916-09-01,"Brisbane, QLD",1992-04-21
JR7,,H0060,John Bonython,Sir,John Langdon,John,Bonython,the Hon. Sir,KB,Male,1848-10-15,"London, England",1939-10-22
JR9,,H0538,Leonard Bosman,Leonard,Lewis,Leonard,Bosman,,,Male,1924-02-05,"Sydney, NSW"
