phid,sen_id,rep_id,name,given_name,additional_name,bio.prefname,family_name,honorific_prefix,honorific_suffix,gender,=birth,place_of_birth,=death
53369,S0535,,Richard Di Natale,Richard,,Richard,Di Natale,,,Male,1970-06-06,"Melbourne, VIC"
JUM,S0250,,Felix Dittmer,Felix,Cyril Sigismund,Felix,Dittmer,,,Male,1904-06-27,"Dugandan, QLD",1977-08-29
3G4,,H0565,Don Dobie,James,Donald Mathieson,Don,Dobie,the Hon. ,,Male,1927-07-28,"Glasgow, Lanarshire, Scotland",1996-11-25
JVC,S0009,,Henry Dobson,Henry,,Henry,Dobson,,,Male,1841-12-24,"Hobart, TAS",1918-10-10
EV5,,H0854,Peter Dodd,Peter,George,Peter,Dodd,,,Male,1953-10-31,"Sydney, NSW"
5M6,,H0896,Nick Dondas,Nicholas,Manuel,Nick,Dondas,,AM,Male,1939-10-26,"Perth, WA"
JVF,S0130,,John Dooley,John,Braidwood,John,Dooley,The Hon.,,Male,1884-11-11,"Holbrook, NSW",1961-08-02
4G4,,H0775,Alexander Downer,Alexander,John Gosse,Alexander,Downer,The Hon.,,Male,1951-09-09,"Adelaide, SA"
KCK,,H0404,Alick Downer,Alexander,Russell,Alick,Downer,The Hon.,,Male,1910-04-07,"North Adelaide, SA",1981-03-30
JVG,S0010,,John Downer,Sir,John William,John,Downer,the Hon. Sir,"KCMG, KC",Male,1843-07-06,"Adelaide, SA",1915-08-02
KCL,,H0620,Francis Doyle,Francis,Edward,Francis,Doyle,,,Male,1922-06-17,"Oakey, QLD",1984-03-13
JXO,S0011,,James Drake,James,George,James,Drake,the Hon. ,,Male,1850-04-26,"London, England",1941-08-01
JXP,S0094,,Edmund Drake-Brockman,Edmund,Alfred,Edmund,Drake-Brockman,Colonel,"CB, CMG, DSO, VD",Male,1884-02-21,"Busselton, WA",1949-06-01
JXR,S0246,,Thomas Drake-Brockman,Thomas,Charles,Thomas,Drake-Brockman,The Hon.,DFC,Male,1919-05-15,"Toodyay, WA",1992-08-28
KCM,,H0310,Arthur Drakeford,Arthur,Samuel,Arthur,Drakeford,The Hon.,,Male,1878-04-26,"Fitzroy, VIC",1957-06-09
0L6,,H0897,Trish Draper,Patricia,,Trish,Draper,,,Female,1959-04-02,"Woodville, SA"
HWG,,H1032,Mark Dreyfus,Mark,Alfred,Mark,Dreyfus,the Hon.,QC,Male,1956-10-03,"Perth, WA"
KCS,,H0405,David Drummond,David,Henry,David,Drummond,The Hon.,,Male,1890-02-11,"Lewisham, NSW",1965-06-13
KCT,,H0621,Peter Drummond,Peter,Hertford,Peter,Drummond,,,Male,1931-08-21,"Wagga Wagga, NSW",2013-12-10
JXX,S0251,,Arnold Drury,Arnold,Joseph,Arnold,Drury,,,Male,1912-07-23,"Adelaide, SA",1995-10-10
KCU,,H0406,Edward Drury,Edward,Nigel,Edward,Drury,,CBE,Male,1911-05-15,"Darling Downs, QLD",1984-05-17
5G4,,H0776,Stephen Dubois,Stephen,Cairfield,Stephen,Dubois,,,Male,1940-02-01,Vanuatu
6G4,,H0716,Michael Duffy,Michael,John,Michael,Duffy,The Hon.,,Male,1938-03-02,"Mildura, VIC"
7G4,,H0777,Peter Duncan,Peter,,Peter,Duncan,The Hon.,,Male,1945-01-01,"Melbourne, VIC"
JXZ,S0095,,Walter Duncan,Walter,Leslie,Walter,Duncan,,,Male,1883-03-14,"Armidale, NSW",1947-05-28
JY7,S0139,H0215,Jack Duncan-Hughes,John,Grant,Jack,Duncan-Hughes,,"MVO, MC, ",Male,1882-09-01,"Watervale, SA",1962-08-13
3K4,S0413,,Irina Dunn,Patricia,Irene,Irina,Dunn,,,Female,1948-03-17,"Shanghai, China"
JYB,S0134,,James Dunn,James,Patrick Digger,James,Dunn,,,Male,1887-08-20,"Liverpool, England",1945-11-21
8G4,S0299,,Peter Durack,Peter,Drew,Peter,Durack,the Hon. ,QC,Male,1926-10-20,"Perth, WA",2008-07-13
KDA,,H0377,Gilbert Duthie,Gilbert,William Arthur,Gilbert,Duthie,,,Male,1912-05-21,"Nhill, VIC",1998-06-13
00AKI,,H0979,Peter Dutton,Peter,Craig,Peter,Dutton,the Hon.,,Male,1970-11-18,"Brisbane, QLD"
JYF,S0083,,John Earle,John,,John,Earle,The Hon.,,Male,1865-11-15,"Bridgewater, TAS",1932-02-06
RU5,,H0855,Mary Easson,Mary,Louise,Mary,Easson,,,Female,1955-06-16,"Melbourne, VIC"
KDB,,H0378,Bill Edmonds,William,Frederick,Bill,Edmonds,,,Male,1903-10-23,"Charters Towers, QLD",1968-11-24
KDD,,H0015,George Edwards,George,Bertrand,George,Edwards,,,Male,1855-01-30,"Hobart, TAS",1911-02-04
83R,,H0943,Graham Edwards,Graham,John,Graham,Edwards,the Hon.,,Male,1946-07-18,"Kalgoorlie, WA"
9G4,,H0622,Harry Edwards,Harold,Raymond,Harry,Edwards,Dr,,Male,1927-01-10,"Drummoyne, NSW",2012-06-26
KDF,,H0061,Richard Edwards,Richard,,Richard,Edwards,,,Male,1842,"Montgomeryshire, Wales",1915-10-29
AG4,,H0745,Ronald Edwards,Ronald,Frederick,Ronald,Edwards,,,Male,1945-07-02,"Perth, WA"
225307,S0536,,Sean Edwards,Sean,Christopher,Sean,Edwards,,,Male,1962-01-02,"Clare, SA"
KDH,,H0407,Jim Eggins,Eldred,James,Jim,Eggins,,,Male,1898-04-07,"Grafton, NSW",1952-01-28
4L6,S0459,,Alan Eggleston,Alan,,Alan,Eggleston,,,Male,1941-12-30,"Busselton, WA"
KDI,,H0524,Syd Einfeld,Sydney,David,Syd,Einfeld,,,Male,1909-06-17,"Sydney, NSW",1995-06-16
KDJ,,H0263,John Eldridge,John,Chambers,John,Eldridge,,,Male,1872,India,1954-04-17
YF6,,H0648,Robert Ellicott,Robert,James,Robert,Ellicott,The Hon.,QC,Male,1927-04-15,"Moree, NSW"
DZW,,H1002,Justine Elliot,Maria,Justine,Justine,Elliot,the Hon.,,Female,1967-07-29,"Brisbane, QLD"
JYG,S0096,,Harold Elliott,Harold,Edward,Harold,Elliott,Brigadier-General,"CB, CMG, DSO, DCM, VD",Male,1878-06-19,"West Charlton, VIC",1931-03-23
JYH,S0135,,Robert Elliott,Robert,Charles Dunlop,Robert,Elliott,,,Male,1884-10-28,"Kyneton, VIC",1950-03-06
6T4,,H0828,Robert Elliott,Robert,Paul,Robert,Elliott,The Hon.,,Male,1954-09-24,"Ballina, NSW"
5K6,,H0898,Annette Ellis,Annette,Louise,Annette,Ellis,,,Female,1946-10-13,"Melbourne, VIC"
DZU,,H1003,Kate Ellis,Katherine,Margaret,Kate,Ellis,the Hon.,,Female,1977-09-22,"Melbourne, VIC"
9X5,S0436,,Christopher Ellison,Christopher,Martin,Christopher,Ellison,The Hon.,,Male,1954-06-15,"Bullawayo, Zimbabwe"
6K6,,H0899,Kay Elson,Kay,Selma,Kay,Elson,,,Female,1947-01-25,"Brisbane, QLD"
JYI,S0343,,Ron Elstob,Ronald,Charles,Ron,Elstob,,,Male,1924-11-29,"Toowoomba, QLD"
83V,,H0944,Craig Emerson,Craig,Anthony,Craig,Emerson,the Hon. Dr,,Male,1954-11-15,"Baradine, NSW"
8H7,,H0612,Kep Enderby,Keppel,Earl,Kep,Enderby,The Hon.,QC,Male,1926-06-25,"Dubbo, NSW",2015-01-07
KDN,,H0516,John England,John,Armstrong,John,England,,ED,Male,1911-10-12,"Brisbane, QLD",1985-06-18
7K6,,H0900,Warren Entsch,Warren,George,Warren,Entsch,the Hon.,,Male,1950-05-31,"Babinda, QLD"
KDO,,H0479,George Erwin,George,Dudley,George,Erwin,The Hon.,,Male,1917-08-20,"Winchelsea, VIC",1984-10-29
AX5,S0437,,Christopher Evans,Christopher,Vaughan,Christopher,Evans,The Hon.,,Male,1958-05-14,"Cuckfield, England"
VD4,S0344,H0901,Gareth Evans,Gareth,John,Gareth,Evans,The Hon.,QC,Male,1944-09-05,"Melbourne, VIC"
JYL,S0372,,Jack Evans,John,Gordon,Jack,Evans,,,Male,1928-11-28,"Southern Cross, WA",2009-10-02
N36,,H0880,Martyn Evans,Martyn,John,Martyn,Evans,,,Male,1953-11-27,"Birmingham, England"
3V5,,H0856,Richard Evans,Richard,David Conroy,Richard,Evans,,,Male,1953-09-07,"Melbourne, VIC"
DTN,,H0342,Bert Evatt,Herbert,Vere,Bert,Evatt,Rt. Hon.,"PC, QC",Male,1894-04-30,"Maitland, NSW",1965-11-02
JYN,S0314,,Mervyn Everett,Mervyn,George,Mervyn,Everett,,QC,Male,1917-10-07,"Hobart, TAS",1988-10-27
KDP,,H0579,Douglas Everingham,Douglas,Nixon,Douglas,Everingham,The Hon.,,Male,1923-06-25,"Wauchope, NSW"
7R5,,H0778,Paul Everingham,Paul,Anthony Edward,Paul,Everingham,The Hon.,,Male,1943-02-04,"Brisbane, QLD"
KDQ,,H0461,Keith Ewert,Keith,Walter Wilson,Keith,Ewert,,,Male,1918-04-12,?,1989-12-02
JYQ,S0012,,Norman Ewing,Norman,Kirkwood,Norman,Ewing,,,Male,1870-12-26,"Wollongong, NSW",1928-07-19
KDR,,H0016,Thomas Ewing,Thomas,Thomson,Thomas,Ewing,the Hon. (later Sir),,Male,1856-10-09,"Pitt Town, NSW",1920-09-15
F4T,,H0322,Arthur Fadden,Arthur,William,Arthur,Fadden,Rt. Hon. (later Sir),"PC, KCMG",Male,1894-04-13,"Ingham, QLD",1973-04-21
HQ5,,H0902,John Fahey,John,Joseph,John,Fahey,The Hon.,AC,Male,1945-01-10,"Wellington, New Zealand"
KDS,,H0408,Laurie Failes,Laurence,John,Laurie,Failes,,,Male,1899-10-16,"Coonabarabran, NSW",1976-07-07
KDT,,H0409,David Fairbairn,David,Eric,David,Fairbairn,The Hon.,DFC,Male,1917-03-03,"Claygate, England",1994-06-01
JYR,S0084,H0103,George Fairbairn,George,,George,Fairbairn,,,Male,1855-03-23,"Geelong, VIC",1943-10-23
KEM,,H0304,James Fairbairn,James,Valentine,James,Fairbairn,the Hon.,,Male,1897-07-28,"Wadhurst, England",1940-08-13
KEN,,H0410,Allen Fairhall,Allen,,Allen,Fairhall,the Hon.,,Male,1909-11-24,"Morpeth, NSW",2006-11-03
KEO,,H0670,Peter Falconer,Peter,David,Peter,Falconer,,,Male,1943-09-23,"Fern Tree Gully, VIC"
KEP,,H0379,Bill Falkinder,Charles,William Jackson,Bill,Falkinder,,"DSO, DFC",Male,1921-08-29,"Hobart, TAS",1993-07-11
KES,,H0152,Bert Falkiner,Franc,Brereton Sadleir,Bert,Falkiner,,,Male,1867-06-17,"Ararat, VIC",1929-10-30
KEU,,H0343,Max Falstein,Sydney,Max,Max,Falstein,,,Male,1914-05-30,"Coffs Harbour, NSW",1967-05-18
00AMO,,H0980,Pat Farmer,Patrick,Francis,Pat,Farmer,the Hon.,,Male,1962-03-14,"Sydney, NSW"
I0N,S0524,,Donald Farrell,Donald,Edward,Donald,Farrell,The Hon.,,Male,1954-06-06,"Murray Bridge, SA"
WD4,,H0746,Wendy Fatin,Wendy,Frances,Wendy,Fatin,The Hon.,,Female,1941-04-10,"Harvey, WA"
5K4,S0415,,John Faulkner,John,Philip,John,Faulkner,the Hon.,,Male,1954-04-12,"Leeton, NSW"
DYU,S0537,H1004,David Fawcett,David,Julian,David,Fawcett,,,Male,1963-10-23,"Narrabri, NSW"
I0O,S0525,H1100,David Feeney,David,Ian,David,Feeney,the Hon.,,Male,1970-03-05,"Adelaide, SA"
KEV,,H0126,James Fenton,James,Edward,James,Fenton,The Hon.,CMG,Male,1864-02-04,"Avoca, VIC",1950-12-03
EP5,S0433,,Alan Ferguson,Alan,Baird,Alan,Ferguson,The Hon.,,Male,1943-09-16,"Maitland, SA "
JYS,S0013,,John Ferguson,John,,John,Ferguson,the Hon. ,,Male,1830-03-15,"Kenmore, Scotland",1906-03-30
8T4,,H0829,Laurie Ferguson,Laurie,Donald Thomas,Laurie,Ferguson,the Hon.,,Male,1952-07-07,"Sydney, NSW"
LS4,,H0903,Martin Ferguson,Martin,John,Martin,Ferguson,the Hon.,AM,Male,1953-12-12,"Sydney, NSW"
DYH,,H1005,Michael Ferguson,Michael,Darrel,Michael,Ferguson,,,Male,1974-03-23,"Burnie, TAS"
JYT,S0071,,Myles Ferricks,Myles,Aloysius,Myles,Ferricks,,,Male,1875-11-12,"Maryborough, QLD",1932-08-20
5L6,S0460,,Jeannie Ferris,Jeannie,Margaret,Jeannie,Ferris,,,Female,1941-03-14,"Auckland, New Zealand",2007-04-02
JYW,S0328,,Albert Field,Albert,Patrick,Albert,Field,,,Male,1910-10-11,"Durrington, England",1990-07-01
E4R,S0500,,Steve Fielding,Steven,Murray,Steve,Fielding,,,Male,1960-10-17,"Melbourne, VIC"
E4T,S0498,,Concetta Fierravanti-Wells,Concetta,Anna,Concetta,Fierravanti-Wells,the Hon.,,Female,1960-05-20,"Wollongong, NSW"
CG4,,H0671,Wallace Fife,Wallace,Clyde,Wallace,Fife,The Hon.,,Male,1929-10-02,"Wagga Wagga, NSW"
D2I,S0497,,Mitch Fifield,Mitchell,Peter,Mitch,Fifield,the Hon.,,Male,1967-01-16,"Sydney, NSW"
QT4,,H0830,Paul Filing,Paul,Anthony,Paul,Filing,,,Male,1955-12-20,"Wegburg, Germany"
JYX,S0041,,Edward Findley,Edward,,Edward,Findley,The Hon.,,Male,1864-09-08,"Bendigo, VIC",1947-10-26
JZ8,S0181,,Alex Finlay,Alexander,,Alex,Finlay,,,Male,1887-11-14,"Melbourne, VIC",1963-03-02
KEX,,H0127,William Finlayson,William,Fyfe,William,Finlayson,The Hon.,,Male,1867,"Dunbartonshire, Scotland",1955-01-15
DG4,,H0779,Timothy Fischer,Timothy,Andrew,Timothy,Fischer,the Hon.,,Male,1946-05-03,"Lockhart, NSW"
F4N,,H0062,Andrew Fisher,Andrew,,Andrew,Fisher,Rt. Hon.   ,,Male,1862-08-29,"Crosshouse, Scotland",1928-10-22
HBE,S0517,,Mary Jo Fisher,Mary,Josephine,Mary Jo,Fisher,,,Female,1962-12-25,"Beverley, WA"
EG4,,H0623,Peter Fisher,Peter,Stanley,Peter,Fisher,,,Male,1936-09-19,"Rainbow, VIC"
KEZ,,H0311,Archibald Fisken,Archibald,Clyde Wanliss,Archibald,Fisken,,MC,Male,1897-03-11,"Ballarat, VIC",1970-06-20
JZB,S0259,H0411,Joe Fitzgerald,Joseph,Francis,Joe,Fitzgerald,,,Male,1910-01-05,"Randwick, NSW",1985-11-01
FG4,,H0780,Eric Fitzgibbon,Eric,John,Eric,Fitzgibbon,,,Male,1936-08-27,"Taree, NSW",2015-01-24
8K6,,H0904,Joel Fitzgibbon,Joel,Andrew,Joel,Fitzgibbon,the Hon.,,Male,1962-01-16,"Bellingen, NSW"
KFB,,H0590,John Fitzpatrick,John,,John,Fitzpatrick,,,Male,1915-04-24,"Broken Hill, NSW",1997-07-28
KFC,,H0153,William Fleming,William,Montgomerie,William,Fleming,,,Male,1874-05-19,"Avon Plains, VIC",1961-07-30
L6B,,H1063,Paul Fletcher,Paul,William,Paul,Fletcher,the Hon.,,Male,1965-01-16,"Devizes, England"
KFF,,H0209,George Foley,George,James,George,Foley,,,Male,1872-11-28,"Walhalla, VIC",1945-10-27
JZD,S0085,,Harry Foll,Hattil,Spencer,Harry,Foll,The Hon.,,Male,1890-05-30,"London, England",1977-07-07
KFH,,H0490,Alexander Forbes,Alexander,James,Alexander,Forbes,The Hon.,MC,Male,1923-12-16,"Hobart, TAS"
RT4,,H0831,Frank Ford,Frank,Allen,Frank,Ford,,,Male,1936-08-10,"Adelaide, SA"
F4U,,H0216,Frank Forde,Francis,Michael,Frank,Forde,Rt. Hon.,PC,Male,1890-07-18,"Mitchell, QLD",1983-01-28
GG4,S0360,,Dominic Foreman,Dominic,John,Dominic,Foreman,,,Male,1933-08-06,"Clare, SA"
KFJ,,H0063,John Forrest,John,,John,Forrest,Sir (later Lord),,Male,1847-08-22,"Bunbury, WA",1918-09-02
NV5,,H0857,John Forrest,John,Alexander,John,Forrest,,,Male,1949-08-24,"Mildura, VIC"
656,S0448,,Michael Forshaw,Michael,George,Michael,Forshaw,,,Male,1952-01-11,"Sydney, NSW"
KFN,,H0104,Francis Foster,Francis,James,Francis,Foster,,,Male,1872,"Sofala, NSW",1948-09-09
KKH,S0097,,George Foster,George,Matthew,George,Foster,,,Male,1884-01-29,"Adelaide, SA",1956-06-06
KFO,,H0591,Norman Foster,Norman,Kenneth,Norman,Foster,,,Male,1921-03-12,"Adelaide, SA",2006-11-19
KFP,,H0120,Richard Foster,Richard,Witty,Richard,Foster,The Hon.,,Male,1856-08-20,"Goodmanham, England",1932-01-05
JWG,,H0017,James Fowler,James,Mackinnon,James,Fowler,The Hon.,,Male,1863-06-20,"Strathaven, Scotland",1940-11-03
JWI,,H0480,Edmund Fox,Edmund,Maxwell Cameron,Edmund,Fox,,,Male,1912-04-27,"Oakleigh, VIC",1988-11-27
JWJ,,H0105,Justin Foxton,Justin,Fox Greenlaw,Justin,Foxton,the Hon. ,CMG,Male,1849-09-24,"Melbourne, VIC",1916-06-23
JWN,,H0194,Frederick Francis,Frederick,Henry,Frederick,Francis,,,Male,1881,"Melbourne, VIC",1949-08-15
JWQ,,H0239,Grosvenor Francis,Grosvenor,Arundell,Grosvenor,Francis,,,Male,1873-08-14,?,1944-11-30
JWT,,H0217,Josiah Francis,Josiah,,Josiah,Francis,the Hon.,,Male,1890-03-28,"Ipswich, QLD",1964-02-22
KKJ,S0189,,Alexander Fraser,Alexander,John,Alexander,Fraser,,MC ,Male,1892-08-22,"Melbourne, VIC",1965-07-09
JWU,,H0359,Allan Fraser,Allan,Duncan,Allan,Fraser,,,Male,1902-09-18,"Carlton, VIC",1977-12-12
KKR,S0170,,James Fraser,James,McIntosh,James,Fraser,The Hon.,,Male,1889-03-12,"Forres, Scotland",1961-08-27
JWX,,H0454,James Fraser,James,Reay,James,Fraser,,,Male,1908-02-08,"Derby, TAS",1970-04-01
QS4,,H0481,Malcolm Fraser,John,Malcolm,Malcolm,Fraser,Rt. Hon.,"AC, CH, GCL",Male,1930-05-21,"Melbourne, VIC",2015-03-20
KKL,S0014,,Simon Fraser,Simon,,Simon,Fraser,,,Male,1832-08-21,"Pictou, Canada",1919-07-30
JX9,,H0081,Charles Frazer,Charles,Edward,Charles,Frazer,the Hon. ,,Male,1880-01-02,"Yarrawonga, VIC",1913-11-25
HG4,,H0717,Ross Free,Ross,Vincent,Ross,Free,the Hon.,,Male,1943-03-07,"Bathurst, NSW"
JXI,,H0412,Gordon Freeth,Gordon,,Gordon,Freeth,the Hon. (later Sir),KBE,Male,1914-08-06,"Angaston, SA",2001-11-27
JXL,,H0276,Charles Frost,Charles,William,Charles,Frost,,,Male,1882-11-30,"Hobart, TAS",1964-07-22
JXQ,,H0649,Kenneth Fry,Kenneth,Lionel,Kenneth,Fry,,,Male,1920-11-08,"Inverell, NSW",2007-10-10
FKL,,H1072,Josh Frydenberg,Joshua,Anthony,Josh,Frydenberg,the Hon.,,Male,1971-07-17,"Melbourne, VIC"
JYV,,H0360,Arthur Fuller,Arthur,Neiberding,Arthur,Fuller,,,Male,1893-10-24,"Gundagai, NSW",1987-03-21
JZF,,H0018,George Fuller,George,Warburton,George,Fuller,the Hon. ,,Male,1861-01-22,"Kiama, NSW",1940-07-22
JZP,,H0502,William Fulton,William,John,William,Fulton,,,Male,1909-06-18,"Cairns, QLD",1988-11-15
I0P,S0526,,Mark Furner,Mark,Lionel,Mark,Furner,,,Male,1958-04-11,"Brisbane, QLD"
JZT,,H0019,Philip Fysh,Sir,Philip Oakley,Philip,Fysh,Sir,KCMG,Male,1835-03-01,"Highbury, London, England",1919-12-20
K0A,,H0195,Joel Gabb,Joel,Moses,Joel,Gabb,,,Male,1882-11-21,"Glenelg, SA",1951-03-06
K0E,,H0361,John Gaha,John,Francis,John,Gaha,The Hon.,,Male,1894-04-14,"Narrabri, NSW",1966-03-18
KKP,S0273,,Vince Gair,Vincent,Clare,Vince,Gair,The Hon.,,Male,1901-02-25,"Rockhampton, QLD",1980-11-11
204953,S0538,,Alex Gallacher,Alexander,Mceachian,Alex,Gallacher,,,Male,1954-01-01,"New Cumnock, Scotland"
ING,S0572,,Katy Gallagher,Katherine,Ruth,Katy,Gallagher,,,Female,1970-03-18,"Canberra, ACT"
CU4,,H0832,Christine Gallus,Christine,Ann,Christine,Gallus,,,Female,1943-04-06,"Adelaide, SA"
K97,,H0455,Pat Galvin,Patrick,,Pat,Galvin,,OBE,Male,1911-03-30,"Quorn, SA",1980-09-24
9K6,,H0905,Teresa Gambaro,Teresa,,Teresa,Gambaro,the Hon.,,Female,1958-11-29,"Brisbane, QLD"
K9A,,H0285,Joe Gander,Joseph,Herbert,Joe,Gander,,,Male,1888,"Dubbo, NSW",1954-11-22
K9C,,H0312,Jock Garden,John,Smith,Jock,Garden,,,Male,1882-08-13,"Nigg, Scotland",1969-01-01
KKZ,S0063,,Jupp Gardiner,Albert,,Jupp,Gardiner,The Hon.,,Male,1867-07-30,"Orange, NSW",1952-08-14
K9H,,H0218,Sydney Gardner,Sydney,Lane,Sydney,Gardner,,,Male,1884-06-09,"Aberdeen, NSW",1965-06-23
K9L,,H0581,Victor Garland,Ransley,Victor,Victor,Garland,The Hon.,,Male,1934-05-05,"Perth, WA"
KL7,S0103,,Henry Garling,Henry,Chester-Master,Henry,Garling,,,Male,1870-06-07,"Camden, NSW",1942-11-19
HV4,,H1006,Peter Garrett,Peter,Robert,Peter,Garrett,,AM,Male,1953-04-16,"Wahroonga, NSW"
L6X,,H0592,Horace Garrick,Horace,James,Horace,Garrick,,,Male,1918-08-26,"Melbourne, VIC",1982-04-06
AK6,,H0906,Joanna Gash,Joanna,,Joanna,Gash,,,Female,1944-07-21,"Groningen, Netherlands"
PG4,,H0747,John Gayler,John,,John,Gayler,,,Male,1943-04-14,"Toowoomba, QLD"
QG4,,H0748,George Gear,George,,George,Gear,the Hon.,,Male,1947-03-08,"Kalgoorlie, WA"
K9S,,H0240,John Gellibrand,Sir,John,John,Gellibrand,Major-General Sir,"KCB, DSO",Male,1872-12-05,"Ouse, TAS",1945-06-03
DZY,,H1007,Steve Georganas,Steven,,Steve,Georganas,,,Male,1959-06-13,"Adelaide, SA"
JH5,,H0981,Jennie George,Jennie,,Jennie,George,,,Female,1947-08-20,"Trani, Italy"
7V4,S0284,,George Georges,George,,George,Georges,,,Male,1920-04-15,"Darwin, NT",2002-09-23
HM5,,H0883,Petro Georgiou,Petro,,Petro,Georgiou,,,Male,1947-11-30,"Corfu, Greece"
83W,,H0945,Jane Gerick,Jane,Frances,Jane,Gerick,,,Female,1963-04-23,"Meekatharra, WA",2003-12-25
KAN,,H0082,James Gibb,James,,James,Gibb,,,Male,1843-06-30,"Campbelfield, VIC",1919-02-22
KAQ,,H0264,George Gibbons,George,Albert,George,Gibbons,,,Male,1887,"Tichborne, NSW",1954-08-11
83X,,H0946,Steve Gibbons,Stephen,William,Steve,Gibbons,,,Male,1949-09-11,"Melbourne, VIC"
6L6,S0461,,Brenda Gibbs,Brenda,,Brenda,Gibbs,,,Male,1947-09-03,"Liverpool, England"
KLP,S0120,,William Gibbs,William,Albion,William,Gibbs,,,Male,1879-07-05,"Melbourne, VIC",1944-08-17
KAR,,H0541,Wylie Gibbs,Wylie,Talbot,Wylie,Gibbs,,,Male,1922-07-26,QLD
KAU,,H0552,Adrian Gibson,Adrian,,Adrian,Gibson,,OAM,Male,1935-11-03,"Hobart, TAS",2015-04-30
BX5,S0438,,Brian Gibson,Brian,Francis,Brian,Gibson,the Hon.,AM,Male,1936-11-04,"Ascot Vale, VIC"
ST4,,H0833,Garrie Gibson,Garrie,David,Garrie,Gibson,,,Male,1954-10-17,"Brisbane, QLD"
KAY,S0152,H0187,William Gibson,William,Gerrand,William,Gibson,The Hon.,,Male,1869-05-19,"Gisborne, VIC",1955-05-22
RG4,S0300,,Arthur Gietzelt,Arthur,Thomas,Arthur,Gietzelt,The Hon.,AO,Male,1920-12-28,"San Francisco, USA",2014-01-05
243609,,H1101,Andrew Giles,Andrew,James,Andrew,Giles,,,Male,1973-07-31,"Melbourne, VIC"
KB8,,H0554,Geoffrey Giles,Geoffrey,O'Halloran,Geoffrey,Giles,,,Male,1923-06-27,"Adelaide, SA",1990-12-18
XG4,S0361,,Patricia Giles,Patricia,Jessie,Patricia,Giles,,,Female,1928-11-16,"Minlaton, SA"
83L,,H0947,Julia Gillard,Julia,Eileen,Julia,Gillard,,,Female,1961-09-29,"Barry, Wales"
KBE,,H0672,Reginald Gillard,Reginald,,Reginald,Gillard,,,Male,1920-03-13,"Lithgow, NSW",2001-08-16
72184,,H1102,David Gillespie,David,Arthur,David,Gillespie,Dr,,Male,1957-12-20,"Canberra, ACT"
KBF,,H0413,Tom Gilmore,Thomas,Vernon,Tom,Gilmore,,,Male,1908-05-07,"Wolfram, QLD",1994-11-15
KLS,S0042,,Henry Givens,Henry,Thomas,Henry,Givens,The Hon.,,Male,1864-02-26,"Tipperary, Ireland",1928-06-19
KLU,S0098,,Bill Glasgow,Sir,Thomas William,Bill,Glasgow,the Hon. Sir,"KCB, CMG, DSO, VD",Male,1876-06-06,"Tiaro, QLD",1955-07-04
KLW,S0015,,Thomas Glassey,Thomas,,Thomas,Glassey,the Hon. ,,Male,1844-02-26,"Markethill, Ireland",1936-09-28
KCO,,H0064,Patrick Glynn,Patrick,Mcmahon,Patrick,Glynn,The Hon.,KC,Male,1855-08-25,"Gort, Ireland",1931-10-28
74046,,H1103,Ian Goodenough,Ian,Reginald,Ian,Goodenough,,,Male,1975-07-03,Singapore
XD4,,H0673,Bruce Goodluck,Bruce,John,Bruce,Goodluck,,,Male,1933-05-14,"Hobart, TAS"
KCP,,H0142,David Gordon,David,John,David,Gordon,the Hon. ,,Male,1865-05-04,"Riverton, SA",1946-02-12
YG4,,H0749,Russell Gorman,Russell,Neville Joseph,Russell,Gorman,,,Male,1926-07-20,"Kandos, NSW"
KH5,S0204,H0580,John Gorton,John,Grey,John,Gorton,Rt. Hon.,CH,Male,1911-09-09,"Melbourne, VIC",2002-05-19
KLZ,S0016,,Albert Gould,Albert,John,Albert,Gould,Lieut.-Colonel the Hon. (later Sir),"KB, VD",Male,1847-02-12,"Sydney, NSW",1936-07-27
ZG4,,H0781,Edward Grace,Edward,Laurence,Edward,Grace,,,Male,1931-03-13,"Swansea, Wales"
ML6,,H0907,Elizabeth Grace,Elizabeth,Jane,Elizabeth,Grace,,,Female,1940-05-27,"Ballarat, VIC"
KCQ,,H0414,Bruce Graham,Bruce,William,Bruce,Graham,,,Male,1919-08-22,"Waverley, NSW",1995-02-18
KMI,S0108,,Charles Graham,Charles,Montague,Charles,Graham,,,Male,1867,"Christchurch, New Zealand",1938-03-27
KMK,S0121,,Charles Grant,Charles,William,Charles,Grant,,,Male,1878-04-24,"Hobart, TAS",1943-12-14
KMN,S0182,,Don Grant,Donald,McLennan,Don,Grant,,,Male,1888-02-26,"Inverness, Scotland",1970-06-09
KMP,S0077,,John Grant,John,,John,Grant,,,Male,1857,"Abernethy, Scotland",1928-05-19
8V4,,H0593,Albert Grassby,Albert,Jaime,Albert,Grassby,The Hon.,,Male,1926-07-12,"Brisbane, QLD",2005-04-23
8W5,,H1033,Gary Gray,Gary,,Gary,Gray,the Hon.,AO,Male,1958-04-30,"Rotherham, England"
KF5,,H0525,George Gray,George,Henry,George,Gray,,,Male,1908-10-02,"Hay, NSW",1967-08-02
KMT,S0043,,John Gray,John,Proctor,John,Gray,,,Male,1840-12-01,"Stonegate, England",1914-04-18
KF8,,H0415,Bill Grayden,William,Leonard,Bill,Grayden,,,Male,1920-08-05,"Perth, WA"
