+people, type, description, date
JJ4|KUG|, family,<a href="/s/p/KUG">Percy Claude Spender</a> is the Father of <a href="/s/p/JJ4">John Michael Spender</a>,
KUG|JJ4|, family,<a href="/s/p/JJ4">John Michael Spender</a> is the Son of <a href="/s/p/KUG">Percy Claude Spender</a>,
KUN|K7A|, family,<a href="/s/p/K7A">William Henry Spooner</a> is the Brother of <a href="/s/p/KUN">Eric Sydney Spooner</a>,
K7A|KUN|, family,<a href="/s/p/KUN">Eric Sydney Spooner</a> is the Brother of <a href="/s/p/K7A">William Henry Spooner</a>,
KVM|KVN|, family,<a href="/s/p/KVN">Geoffrey Austin Street</a> is the Father of <a href="/s/p/KVM">Anthony Austin Street</a>,
KVN|KVM|, family,<a href="/s/p/KVM">Anthony Austin Street</a> is the Son of <a href="/s/p/KVN">Geoffrey Austin Street</a>,
IG4|HBE|, family,<a href="/s/p/HBE">Mary Josephine Fisher</a> is the Niece of <a href="/s/p/IG4">Josephine Vallentine</a>,
K9P|K9T|, family,<a href="/s/p/K9T">Joseph Vardon</a> is the Father of <a href="/s/p/K9P">Edward Charles Vardon</a>,
K9T|K9P|, family,<a href="/s/p/K9P">Edward Charles Vardon</a> is the Son of <a href="/s/p/K9T">Joseph Vardon</a>,
TJ4|8W5|, family,<a href="/s/p/8W5">Gary Gray</a> is the Son-in-law of <a href="/s/p/TJ4">Peter Alexander Walsh</a>,
UJ4|KNX|, family,<a href="/s/p/KNX">Eric John Harrison</a> is the Father of <a href="/s/p/UJ4">Mary Shirley Walters</a>,
KX9|KXB|, family,<a href="/s/p/KXB">David Oliver Watkins</a> is the Son of <a href="/s/p/KX9">David Watkins</a>,
KXB|KX9|, family,<a href="/s/p/KX9">David Watkins</a> is the Father of <a href="/s/p/KXB">David Oliver Watkins</a>,
KZY|6U4|, family,<a href="/s/p/6U4">Edward Gough Whitlam</a> is the Father of <a href="/s/p/KZY">Antony Philip Whitlam</a>,
0K4|KBH|JR7, family,<a href="/s/p/KBH">Keith Cameron Wilson</a> is the Father of <a href="/s/p/0K4">Ian Bonython Cameron Wilson</a>; <a href="/s/p/JR7">Sir John Langdon Bonython</a> is the Great Grandfather of <a href="/s/p/0K4">Ian Bonython Cameron Wilson</a>,
KBH|0K4|, family,<a href="/s/p/0K4">Ian Bonython Cameron Wilson</a> is the Son of <a href="/s/p/KBH">Keith Cameron Wilson</a>
